Date,Open,High,Low,Close,Adj Close,Volume
2020-07-13,4.613968,4.915115,4.481499,4.896294,4.896294,28340
2020-07-14,null,null,null,null,null,null
2020-07-15,null,null,null,null,null,null
2020-07-16,null,null,null,null,null,null
2020-07-17,null,null,null,null,null,null
2020-07-18,null,null,null,null,null,null
2020-07-19,null,null,null,null,null,null
2020-07-20,null,null,null,null,null,null
2020-07-21,null,null,null,null,null,null
2020-07-22,null,null,null,null,null,null
2020-07-23,null,null,null,null,null,null
2020-07-24,null,null,null,null,null,null
2020-07-25,null,null,null,null,null,null
2020-07-26,null,null,null,null,null,null
2020-07-27,null,null,null,null,null,null
2020-07-28,null,null,null,null,null,null
2020-07-29,null,null,null,null,null,null
2020-07-30,null,null,null,null,null,null
2020-07-31,null,null,null,null,null,null
2020-08-01,null,null,null,null,null,null
2020-08-02,null,null,null,null,null,null
2020-08-03,null,null,null,null,null,null
2020-08-04,null,null,null,null,null,null
2020-08-05,null,null,null,null,null,null
2020-08-06,null,null,null,null,null,null
2020-08-07,null,null,null,null,null,null
2020-08-08,null,null,null,null,null,null
2020-08-09,null,null,null,null,null,null
2020-08-10,null,null,null,null,null,null
2020-08-11,null,null,null,null,null,null
2020-08-12,null,null,null,null,null,null
2020-08-13,null,null,null,null,null,null
2020-08-14,null,null,null,null,null,null
2020-08-15,null,null,null,null,null,null
2020-08-16,null,null,null,null,null,null
2020-08-17,null,null,null,null,null,null
2020-08-18,null,null,null,null,null,null
2020-08-19,null,null,null,null,null,null
2020-08-20,null,null,null,null,null,null
2020-08-21,null,null,null,null,null,null
2020-08-22,null,null,null,null,null,null
2020-08-23,null,null,null,null,null,null
2020-08-24,null,null,null,null,null,null
2020-08-25,null,null,null,null,null,null
2020-08-26,null,null,null,null,null,null
2020-08-27,null,null,null,null,null,null
2020-08-28,null,null,null,null,null,null
2020-08-29,null,null,null,null,null,null
2020-08-30,null,null,null,null,null,null
2020-08-31,null,null,null,null,null,null
2020-09-01,null,null,null,null,null,null
2020-09-02,null,null,null,null,null,null
2020-09-03,null,null,null,null,null,null
2020-09-04,null,null,null,null,null,null
2020-09-05,null,null,null,null,null,null
2020-09-06,null,null,null,null,null,null
2020-09-07,null,null,null,null,null,null
2020-09-08,null,null,null,null,null,null
2020-09-09,null,null,null,null,null,null
2020-09-10,null,null,null,null,null,null
2020-09-11,null,null,null,null,null,null
2020-09-12,null,null,null,null,null,null
2020-09-13,null,null,null,null,null,null
2020-09-14,null,null,null,null,null,null
2020-09-15,null,null,null,null,null,null
2020-09-16,null,null,null,null,null,null
2020-09-17,null,null,null,null,null,null
2020-09-18,null,null,null,null,null,null
2020-09-19,null,null,null,null,null,null
2020-09-20,null,null,null,null,null,null
2020-09-21,null,null,null,null,null,null
2020-09-22,4.986754,11.463443,4.125380,5.234632,5.234632,288098840
2020-09-23,5.234104,5.342635,3.446731,3.521812,3.521812,124722601
2020-09-24,3.521812,4.840724,3.455071,4.578369,4.578369,97292365
2020-09-25,4.585006,4.974121,4.235599,4.711471,4.711471,56666145
2020-09-26,4.725395,4.815185,4.383511,4.541182,4.541182,27433706
2020-09-27,4.538576,4.703974,4.126889,4.644225,4.644225,23653446
2020-09-28,4.644225,4.655188,4.203845,4.206297,4.206297,21078845
2020-09-29,4.209897,4.289653,3.981965,4.142106,4.142106,16820319
2020-09-30,4.142031,4.404218,4.013066,4.325939,4.325939,16360860
2020-10-01,4.325457,4.508476,4.054232,4.155932,4.155932,23097831
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,3.972447,4.047563,3.891379,3.992968,3.992968,8518919
2020-10-06,3.991913,4.002682,3.526442,3.544228,3.544228,14470314
2020-10-07,3.552039,3.552039,3.234029,3.460686,3.460686,15303367
2020-10-08,3.455779,3.949154,3.352270,3.909959,3.909959,14611203
2020-10-09,null,null,null,null,null,null
2020-10-10,4.241963,4.250989,4.016294,4.026705,4.026705,14539711
2020-10-11,4.022435,4.158483,3.970839,4.095879,4.095879,11454885
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,4.483894,4.485448,4.022536,4.150056,4.150056,10004481
2020-10-15,4.152928,4.213541,4.016290,4.127353,4.127353,6998970
2020-10-16,4.127866,4.155393,3.887011,4.040480,4.040480,9790610
2020-10-17,4.038541,4.196009,3.976694,4.196009,4.196009,6113717
2020-10-18,4.192323,4.246367,4.083952,4.116062,4.116062,3717531
2020-10-19,4.117765,4.160939,3.997867,4.050311,4.050311,5848392
2020-10-20,4.053504,4.081610,3.714379,3.802201,3.802201,19646467
2020-10-21,3.800439,4.108505,3.794334,3.965959,3.965959,23475819
2020-10-22,3.971725,4.498044,3.962153,4.314421,4.314421,24178361
2020-10-23,4.330929,4.486894,4.149672,4.262106,4.262106,19482074
2020-10-24,4.262106,4.352660,4.161980,4.189700,4.189700,16681037
2020-10-25,4.189700,4.257972,4.105395,4.153210,4.153210,15517939
2020-10-26,4.153210,4.479071,4.049678,4.160973,4.160973,9243755
2020-10-27,4.160973,4.349709,4.043659,4.122243,4.122243,17600881
2020-10-28,4.122243,4.177805,3.935027,4.066606,4.066606,19435211
2020-10-29,4.066606,4.106396,3.733383,3.775312,3.775312,6527859
2020-10-30,3.775312,3.819172,3.580127,3.714938,3.714938,28434550
2020-10-31,3.714938,3.743536,3.585136,3.648368,3.648368,20452535
2020-11-01,3.648368,3.716676,3.555984,3.682664,3.682664,15953277
2020-11-02,3.682664,3.854503,3.614397,3.623915,3.623915,20039697
2020-11-03,3.623915,3.655554,3.242257,3.332747,3.332747,24573095
2020-11-04,3.332747,3.376659,3.002888,3.184633,3.184633,20709819
2020-11-05,3.184633,3.377098,3.022843,3.358205,3.358205,26135754
2020-11-06,3.358205,3.645242,3.318024,3.595282,3.595282,33947029
2020-11-07,3.595282,3.907106,3.382676,3.403408,3.403408,34653203
2020-11-08,3.403408,3.650816,3.368068,3.476598,3.476598,26072941
2020-11-09,3.476598,3.539321,3.265887,3.417125,3.417125,25509378
2020-11-10,3.417125,3.640520,3.369728,3.586142,3.586142,24316551
2020-11-11,3.586142,3.810148,3.457200,3.484356,3.484356,24727644
2020-11-12,3.484356,3.560577,3.319769,3.429143,3.429143,25090677
2020-11-13,3.429143,3.697817,3.391807,3.697801,3.697801,27584233
2020-11-14,3.697801,3.697801,3.403674,3.500485,3.500485,24359587
2020-11-15,3.500485,3.642452,3.422898,3.536580,3.536580,22702610
2020-11-16,3.536580,3.816524,3.459120,3.716656,3.716656,27372174
2020-11-17,3.788714,3.915112,3.698242,3.831768,3.831768,23031677
2020-11-18,3.831768,3.871043,3.575699,3.748681,3.748681,20818649
2020-11-19,3.748681,3.816442,3.570697,3.627004,3.627004,21489339
2020-11-20,3.627004,3.987024,3.624535,3.710605,3.710605,27416995
2020-11-21,3.710605,4.083803,3.692361,4.001856,4.001856,25984283
2020-11-22,4.001856,4.058050,3.716793,3.889969,3.889969,25963010
2020-11-23,3.889969,4.254518,3.848123,4.068428,4.068428,9013817
2020-11-24,4.068523,4.327888,3.870280,4.266966,4.266966,30722083
2020-11-25,4.267713,4.400343,3.933892,4.049503,4.049503,28505942
2020-11-26,4.049992,4.084810,3.302878,3.527710,3.527710,35408249
2020-11-27,3.526707,3.763903,3.425879,3.592152,3.592152,6023810
2020-11-28,3.589427,3.697806,3.480224,3.624503,3.624503,17509244
2020-11-29,3.624608,3.767205,3.532624,3.704312,3.704312,3901221
2020-11-30,3.704346,3.813839,3.645647,3.686424,3.686424,21457284
2020-12-01,3.686461,3.816161,3.492484,3.579318,3.579318,24719236
2020-12-02,3.579347,3.842220,3.529019,3.731418,3.731418,5085526
2020-12-03,3.736139,3.894949,3.717646,3.821922,3.821922,21038215
2020-12-04,3.821940,3.860148,3.518849,3.551129,3.551129,23754809
2020-12-05,3.538394,3.711921,3.508541,3.615126,3.615126,21215020
2020-12-06,3.615132,3.675857,3.509108,3.599609,3.599609,20224612
2020-12-07,3.599663,3.609886,3.325592,3.392123,3.392123,16909346
2020-12-08,3.392420,3.392420,3.096467,3.112555,3.112555,23027417
2020-12-09,3.111567,3.399476,2.808724,3.261969,3.261969,28583037
2020-12-10,3.261588,3.345826,3.070856,3.152690,3.152690,29252855
2020-12-11,3.152864,3.305008,3.014926,3.235806,3.235806,29224480
2020-12-12,3.232655,3.451851,3.231008,3.334231,3.334231,24630224
2020-12-13,3.334768,3.410037,3.293291,3.331057,3.331057,20722255
2020-12-14,3.330365,3.342179,3.136351,3.140347,3.140347,27242747
2020-12-15,3.141436,3.379336,3.061389,3.299948,3.299948,18320578
2020-12-16,3.299802,3.373800,3.151380,3.344162,3.344162,21054734
2020-12-17,3.343727,3.377374,3.179822,3.209255,3.209255,10227874
2020-12-18,3.209613,3.469288,3.141923,3.404798,3.404798,23107656
2020-12-19,3.405378,3.610322,3.380227,3.469613,3.469613,19919598
2020-12-20,3.469663,3.495378,3.285854,3.311469,3.311469,18750351
2020-12-21,3.311456,3.351082,3.033683,3.097619,3.097619,25892571
2020-12-22,3.094121,3.128812,2.924834,3.082421,3.082421,23991868
2020-12-23,3.082427,3.620084,2.796210,2.916323,2.916323,50329367
2020-12-24,2.930465,3.111959,2.789799,3.098723,3.098723,29820498
2020-12-25,3.097413,3.126981,2.858229,2.954710,2.954710,26360909
2020-12-26,2.955119,2.988567,2.853384,2.918270,2.918270,21332105
2020-12-27,2.918269,3.050767,2.848074,2.906161,2.906161,24533711
2020-12-28,2.905293,3.046745,2.866661,2.947435,2.947435,27088075
2020-12-29,2.947437,3.006633,2.835506,2.924666,2.924666,25386162
2020-12-30,2.925294,2.939915,2.833326,2.922409,2.922409,17031663
2020-12-31,2.922048,3.190903,2.788822,3.135609,3.135609,18953615
2021-01-01,3.153535,3.873537,3.054542,3.664823,3.664823,81260736
2021-01-02,3.662164,3.937007,3.299263,3.494940,3.494940,50081958
2021-01-03,3.494292,3.826090,3.396842,3.472944,3.472944,36997985
2021-01-04,3.473519,3.831960,3.250402,3.590243,3.590243,39414734
2021-01-05,3.590670,4.343222,3.485492,4.237412,4.237412,69735075
2021-01-06,4.233969,4.971324,4.155298,4.620357,4.620357,77632627
2021-01-07,4.605810,4.808977,4.347032,4.476613,4.476613,53715138
2021-01-08,4.475872,5.813029,4.054746,5.797110,5.797110,100707264
2021-01-09,5.766708,7.459085,5.621013,7.218531,7.218531,162227415
2021-01-10,7.216229,7.501712,6.191732,6.586496,6.586496,96243972
2021-01-11,6.579785,6.986017,5.775503,6.494089,6.494089,101394969
2021-01-12,6.487615,8.198621,6.457987,7.782700,7.782700,157738757
2021-01-13,7.757137,8.478569,7.186762,8.466815,8.466815,107370548
2021-01-14,8.464189,9.527691,8.228603,9.261315,9.261315,154674301
2021-01-15,9.270429,9.855640,8.633324,9.380012,9.380012,123418249
2021-01-16,9.386836,13.359240,9.169473,12.877918,12.877918,302897986
2021-01-17,12.868456,14.382868,12.400223,13.202684,13.202684,303643624
