Date,Open,High,Low,Close,Adj Close,Volume
2020-09-22,4.275014,4.554092,3.755040,3.905138,3.905138,816282684
2020-09-23,3.906889,5.320915,3.906889,4.357083,4.357083,1068862770
2020-09-24,4.357083,5.264676,4.314550,5.139447,5.139447,906941508
2020-09-25,5.153326,5.544542,4.830102,5.015684,5.015684,948247960
2020-09-26,5.021552,5.067214,4.738385,4.800912,4.800912,694457351
2020-09-27,4.798807,5.196382,4.730280,4.777030,4.777030,660501848
2020-09-28,4.777030,4.951456,4.171343,4.185195,4.185195,580929608
2020-09-29,4.183390,4.440887,4.117445,4.440887,4.440887,407901950
2020-09-30,4.448116,4.454946,3.983371,4.159933,4.159933,232211646
2020-10-01,4.159933,4.504914,4.094835,4.268764,4.268764,608036347
2020-10-02,null,null,null,null,null,null
2020-10-03,null,null,null,null,null,null
2020-10-04,null,null,null,null,null,null
2020-10-05,3.682342,3.733679,3.374458,3.430522,3.430522,430817954
2020-10-06,3.429009,3.431886,2.848850,2.882009,2.882009,592396027
2020-10-07,2.891561,2.998289,2.477666,2.970985,2.970985,499705349
2020-10-08,2.969384,3.420274,2.595129,3.300523,3.300523,628102627
2020-10-09,null,null,null,null,null,null
2020-10-10,3.081812,3.632204,3.054928,3.331527,3.331527,562610977
2020-10-11,3.331239,3.442175,3.250743,3.387240,3.387240,411091368
2020-10-12,null,null,null,null,null,null
2020-10-13,null,null,null,null,null,null
2020-10-14,3.500179,3.582452,2.648806,3.082023,3.082023,516845493
2020-10-15,3.077349,3.077410,2.866540,2.906949,2.906949,439092200
2020-10-16,2.908383,3.163355,2.805559,3.034977,3.034977,578856190
2020-10-17,3.037373,3.085675,2.960528,3.000683,3.000683,274343380
2020-10-18,2.995080,3.276799,2.982761,3.266859,3.266859,270238697
2020-10-19,3.274675,3.281866,3.128738,3.177664,3.177664,353126948
2020-10-20,3.173583,3.181297,2.821474,2.869800,2.869800,542347476
2020-10-21,2.861897,3.065714,2.850831,2.941374,2.941374,641102100
2020-10-22,2.940848,3.139806,2.930286,3.039450,3.039450,490414767
2020-10-23,3.044073,3.120281,2.974443,3.012190,3.012190,340365373
2020-10-24,3.012190,3.083292,2.937710,2.943257,2.943257,228726426
